ID,Время начала,Время выполнения,Укажите ваш возраст:,Укажите ваш пол:,"Укажите ВУЗ, где вы учитесь:","0 - вуз мегаполисный, 1 - вуз региональный",Укажите профиль вашего образования:,"0 - гуманитарный, 1 - технический",Следите ли вы за политическими новостями?,"Считаете ли вы информацию, предоставляемую СМИ, достоверной?","Как вы думаете, оказывает ли владелец СМИ влияние на публикуемые материалы?",Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,Баллы — Как вы считаете СМИ в первую очередь действуют в интересах владельца или целевой аудитории?,"Сравниваете ли вы информацию в разных СМИ, если она вызывает у вас сомнения?",Доверяете ли вы экспертным мнениям в СМИ?,В поисках информации о политических событиях вы отдаёте предпочтение информации в СМИ или мнениям политиков в их личных микроблогах?,"Реагируете ли вы в социальных сетях и блогах на политические новости? ( комментируете, репостите, лайкаете и т.п.)",Слышали ли вы о медиаграмотности?,Слышали ли вы о фактчекинге?,Слышали ли вы о фейкньюз?,Пытаетесь ли вы найти первоисточник интересующей вас новости?,"Согласны ли вы, что СМИ при подаче новостей используют манипулятивные приёмы?","Как вы считаете политические ток-шоу на телевидении и на видеохостингах (60 минут, Навальный LIVE, Вечер с Владимиром Соловьёвым и т.д. и т.п.) носят серьёзный характер или это больше развлекатель...","Как вы считаете, подача информации в СМИ носит агрессивный характер?","Как вы считаете должны ли детей в школе учить разбираться в том, как отличать правдивую и ложную информацию в СМИ?"
12,2/1/21 14:58:06,2/1/21 14:59:51,21,Женский,СГУ ,1,гуманитарный,0,Постоянно слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Скорее доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Скорее да, должны"
13,2/1/21 14:58:09,2/1/21 15:00:33,19,Женский,СГУ им. Н.Г. Чернышевского,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Не слышал,Скорее пытаюсь ,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Скорее да, должны"
14,2/1/21 15:01:20,2/1/21 15:03:08,23,Мужской,СГЮА,1,гуманитарный,0,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее не доверяю,Политикам,Всегда,Слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
15,2/1/21 15:03:11,2/1/21 15:04:45,20,Мужской,Сгу,1,скорее технический,1,Постоянно слежу,Скорее cчитаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее доверяю,Затрудняюсь ответить,Скорее часто,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
16,2/1/21 15:05:02,2/1/21 15:08:44,19,Мужской,СГУ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Слышал,Слышал,Затрудняюсь ответить,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,Затрудняюсь ответить
17,2/1/21 15:07:14,2/1/21 15:09:37,18,Женский,СГУ ,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Скорее часто,,Не слышал,Слышал,Затрудняюсь ответить,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
18,2/1/21 15:28:53,2/1/21 15:30:55,22,Женский,Сгу ,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее не доверяю,Затрудняюсь ответить,Скорее редко,Не слышал,Не слышал,,Всегда пытаюсь,Скорее согласен,"Скорее развлекательный, чем серьёзный",Скорее неагрессивный,"Да, должны"
19,2/1/21 15:32:17,2/1/21 15:35:34,18,Женский,СГУ,1,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Всегда пытаюсь,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
20,2/1/21 15:44:03,2/1/21 15:46:37,20,Мужской,СГУ,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Исключительно в интересах целевой аудитории,,Скорее да,Скорее не доверяю,"Скорее политикам, чем СМИ",Затрудняюсь ответить,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Скорее да, должны"
21,2/1/21 15:48:56,2/1/21 15:50:20,18,Мужской,сгу,1,скорее социо-гуманитарный,0,Затрудняюсь ответить ,Безусловно не считаю,Скорее всего оказывает,Только в интересах владельца,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,Скорее не должны
22,2/1/21 15:50:43,2/1/21 15:55:52,18,Мужской,СГУ,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Скорее всего оказывает,Затрудняюсь ответить,,Всегда,Скорее доверяю,"Скорее СМИ, чем политикам",Никогда,Не слышал,Не слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Да, должны"
23,2/1/21 15:57:07,2/1/21 15:59:18,20,Женский,СПбГУ,0,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,"Скорее да, должны"
24,2/1/21 15:52:09,2/1/21 16:03:56,19,Женский,СГУ,1,скорее социо-гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Слышал,Затрудняюсь ответить,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Скорее да, должны"
25,2/1/21 17:19:53,2/1/21 17:22:31,24,Женский,СГУ,1,гуманитарный,0,Постоянно слежу,Безусловно не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Всегда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
26,2/1/21 18:21:19,2/1/21 18:25:03,22,Женский,Сгу,1,скорее технический,1,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,Затрудняюсь ответить,Всегда,"Да, должны"
27,2/1/21 19:42:21,2/1/21 19:44:19,19,Женский,СГУ,1,гуманитарный,0,Скорее не слежу,Скорее cчитаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее нет,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Не слышал,Слышал,Мне всё равно,Полностью согласен,Затрудняюсь ответить,Затрудняюсь ответить,"Да, должны"
28,2/1/21 21:59:57,2/1/21 22:03:59,20,Женский,СГУ ,1,скорее социо-гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Нет,Скорее не доверяю,Политикам,Скорее редко,Слышал,Не слышал,Слышал,Мне всё равно,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Скорее неагрессивный,"Скорее да, должны"
29,2/1/21 22:24:42,2/1/21 22:27:46,21,Мужской,СПБГУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Скорее доверяю,Затрудняюсь ответить,Никогда,Слышал,Не слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
30,2/2/21 0:40:14,2/2/21 0:44:44,18,Женский,СГУ им. Чернышевского ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Скорее редко,Не слышал,Слышал,Слышал,Мне всё равно,Скорее согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Скорее да, должны"
31,2/2/21 1:27:08,2/2/21 1:32:31,19,Женский,"СГУ, ИФиЖ",1,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее редко,Не слышал,Слышал,Слышал,Всегда пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
32,2/2/21 12:57:13,2/2/21 12:59:16,24,Женский,Иркутский государственный университет ,1,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Затрудняюсь ответить,,Всегда,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Скорее да, должны"
33,2/2/21 20:13:57,2/2/21 20:19:22,25,Женский,Урфу,0,гуманитарный,0,Затрудняюсь ответить ,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Затрудняюсь ответить,Скорее не доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,"Да, должны"
34,2/2/21 20:29:45,2/2/21 20:32:01,26,Женский,УрФУ,0,гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
35,2/3/21 6:38:53,2/3/21 6:41:34,24,Женский,УРФУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее нет,Скорее доверяю,Затрудняюсь ответить,Скорее редко,Не слышал,Не слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее развлекательный, чем серьёзный",Скорее неагрессивный,"Скорее да, должны"
36,2/3/21 9:27:35,2/3/21 9:30:29,25,Женский,УРФУ,0,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Всегда,Скорее не доверяю,"Скорее политикам, чем СМИ",Затрудняюсь ответить,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Скорее да, должны"
37,2/3/21 13:03:46,2/3/21 13:05:07,21,Женский,СГУ,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Затрудняюсь ответить,Полностью согласен,Затрудняюсь ответить,Иногда скорее агрессивный,"Да, должны"
38,2/3/21 15:22:55,2/3/21 15:25:25,18,Женский,СГУ им. Н. Г. Чернышевского,1,скорее социо-гуманитарный,0,Скорее не слежу,Безусловно не считаю,Безусловно оказывает,Только в интересах владельца,,Всегда,Скорее не доверяю,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Да, должны"
39,2/4/21 15:32:10,2/4/21 15:33:55,18,Женский,СГУ им Чернышевского,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее СМИ, чем политикам",Затрудняюсь ответить,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Скорее неагрессивный,"Да, должны"
40,2/8/21 6:02:36,2/8/21 6:05:49,25,Мужской,Саратовский государственный университет имени Н.Г. Чернышевского,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Скорее нет,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее редко,Не слышал,Слышал,Слышал,Скорее не пытаюсь,Скорее согласен,Затрудняюсь ответить,Скорее неагрессивный,"Скорее да, должны"
41,2/8/21 9:02:52,2/8/21 9:15:19,22,Мужской,СГУ,1,гуманитарный,0,Затрудняюсь ответить ,Скорее cчитаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Доверяю,СМИ,Скорее часто,Слышал,Не слышал,Слышал,Скорее не пытаюсь,Скорее согласен,"Серьёзный характер, там обсуждаются важные вопросы",Иногда скорее агрессивный,Не должны
42,2/8/21 9:42:55,2/8/21 9:45:02,18,Женский,СГУ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее редко,Не слышал,Затрудняюсь ответить,Не слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
43,2/8/21 9:42:59,2/8/21 9:45:46,17,Женский,СГУ ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Скорее доверяю,"Скорее СМИ, чем политикам",Никогда,Не слышал,Не слышал,Не слышал,Мне всё равно,Скорее согласен,Затрудняюсь ответить,Иногда скорее агрессивный,Не должны
44,2/8/21 9:42:30,2/8/21 9:45:51,18,Женский,СГУ им. Чернышевского ,1,гуманитарный,0,Скорее не слежу,Скорее cчитаю,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее доверяю,Затрудняюсь ответить,Скорее редко,Затрудняюсь ответить,Не слышал,Не слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,Скорее не должны
45,2/8/21 9:43:01,2/8/21 9:46:10,18,Женский,СГУ,1,скорее социо-гуманитарный,0,Скорее не слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Не слышал,Не слышал,Слышал,Скорее не пытаюсь,Скорее согласен,"Скорее развлекательный, чем серьёзный",Затрудняюсь ответить,"Да, должны"
46,2/8/21 9:43:00,2/8/21 9:46:12,18,Женский,СГУ им Н.Г.Чернышевского ,1,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Всегда,Скорее не доверяю,"Скорее политикам, чем СМИ",Никогда,Не слышал,Не слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
47,2/8/21 9:43:24,2/8/21 9:46:16,18,Мужской,Сгу,1,гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,Скорее в интересах владельца,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Скорее редко,Слышал,Слышал,Слышал,Скорее пытаюсь ,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
48,2/8/21 9:42:59,2/8/21 9:46:16,18,Женский,СГУ ,1,гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Скорее доверяю,"Скорее СМИ, чем политикам",Скорее часто,Не слышал,Слышал,Слышал,Затрудняюсь ответить,Полностью согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
49,2/8/21 9:44:00,2/8/21 9:46:19,17,Женский,сгу Чернышевского,1,гуманитарный,0,Постоянно слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Всегда,Затрудняюсь ответить,Не слышал,Слышал,Скорее не пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Скорее неагрессивный,"Да, должны"
50,2/8/21 9:44:10,2/8/21 9:46:19,18,Женский,СГУ,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Скорее доверяю,Затрудняюсь ответить,Всегда,Не слышал,Не слышал,Слышал,Мне всё равно,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
51,2/8/21 9:42:34,2/8/21 9:46:27,18,Женский,СГУ,1,скорее социо-гуманитарный,0,Скорее слежу,Затрудняюсь ответить,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Скорее доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Не слышал,Слышал,Затрудняюсь ответить,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,"Скорее да, должны"
52,2/8/21 9:42:58,2/8/21 9:46:30,18,Мужской,СГУ - Саратовский Государственный Университет,1,гуманитарный,0,Затрудняюсь ответить ,Скорее cчитаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее СМИ, чем политикам",Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее развлекательный, чем серьёзный",Иногда скорее агрессивный,Затрудняюсь ответить
53,2/8/21 9:43:01,2/8/21 9:46:32,18,Женский,СГУ,1,гуманитарный,0,Постоянно слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Затрудняюсь ответить,Скорее доверяю,Политикам,Никогда,Слышал,Затрудняюсь ответить,Слышал,Всегда пытаюсь,Скорее согласен,Затрудняюсь ответить,Скорее неагрессивный,"Да, должны"
54,2/8/21 9:42:35,2/8/21 9:46:39,18,Женский,СГУ им.Чернышевского,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Скорее всего оказывает,Затрудняюсь ответить,,Скорее да,Скорее доверяю,"Скорее политикам, чем СМИ",Никогда,Слышал,Не слышал,Не слышал,Скорее не пытаюсь,Скорее согласен,"Серьёзный характер, там обсуждаются важные вопросы",Скорее неагрессивный,"Да, должны"
55,2/8/21 9:43:16,2/8/21 9:46:43,18,Женский,СГУ,1,скорее социо-гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Скорее редко,Слышал,Не слышал,Не слышал,Всегда пытаюсь,Полностью согласен,"Серьёзный характер, там обсуждаются важные вопросы",Затрудняюсь ответить,"Да, должны"
56,2/8/21 9:43:02,2/8/21 9:46:43,18,Женский,Саратовский государственный университет им. Чернышевского ,1,гуманитарный,0,Скорее не слежу,Скорее не считаю,Скорее всего оказывает,Скорее в интересах владельца,,Скорее да,Затрудняюсь ответить,"Скорее политикам, чем СМИ",Никогда,Не слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Иногда скорее агрессивный,"Да, должны"
57,2/8/21 9:42:31,2/8/21 9:46:48,18,Женский,Саратовский государственный университет им. Чернышевского ,1,гуманитарный,0,Скорее слежу,Скорее не считаю,Безусловно оказывает,Скорее в интересах владельца,,Скорее нет,Скорее не доверяю,"Скорее политикам, чем СМИ",Скорее часто,Слышал,Не слышал,Слышал,Скорее не пытаюсь,Скорее согласен,Затрудняюсь ответить,Затрудняюсь ответить,Скорее не должны
58,2/8/21 9:42:24,2/8/21 9:48:09,18,Женский,Саратовский государственный исследовательский университет им. Н. Г. Чернышевского,1,скорее социо-гуманитарный,0,Постоянно слежу,Затрудняюсь ответить,Безусловно оказывает,В большей степени в интересах целевой аудитории,,Всегда,Затрудняюсь ответить,Затрудняюсь ответить,Никогда,Слышал,Слышал,Слышал,Скорее пытаюсь ,Скорее согласен,"Скорее серьёзный, чем развлекательный",Затрудняюсь ответить,"Да, должны"
59,2/8/21 9:43:39,2/8/21 9:48:41,18,Женский,СГУ им. Н. Г. Чернышевского,1,гуманитарный,0,Скорее слежу,Скорее cчитаю,Затрудняюсь ответить,В большей степени в интересах целевой аудитории,,Скорее нет,Скорее доверяю,"Скорее политикам, чем СМИ",Скорее редко,Не слышал,Не слышал,Не слышал,Скорее не пытаюсь,Скорее согласен,"Скорее серьёзный, чем развлекательный",Скорее неагрессивный,"Да, должны"
